id,display_code,district_id,name
1,4,4,AMBALAPPUZHA
2,1,4,CHENGANNUR
3,6,4,CHERTHALA
4,3,4,KARTHIKAPALLY
5,5,4,KUTTANAD
6,2,4,MAVELIKKARA
7,1,7,ALUVA
8,3,7,KANAYANNUR
9,2,7,KOCHI
10,4,7,KOTHAMANGALAM
11,5,7,KUNNATHUNADU
12,6,7,MUVATTUPUZHA
13,7,7,PARAVUR
14,1,6,DEVIKULAM
15,,6,IDUKKI
16,2,6,PEERMADE
17,3,6,THODUPUZHA
18,4,6,UDUMBANCHOLA
19,4,13,IRITTY
20,1,13,KANNUR
21,,13,PAYYANNUR
22,2,13,TALIPARAMBA
23,3,13,THALASSERY
24,2,14,HOSDURG
25,1,14,KASARGOD
26,3,14,MANJESWARAM
27,4,14,VELLARIKKUND
28,3,2,KARUNAGAPPALLY
29,1,2,KOLLAM
30,2,2,KOTTARAKKARA
31,4,2,KUNNATHOOR
32,5,2,PATHANAPURAM
33,,2,PUNALUR
34,2,5,CHANGANASSERY
35,3,5,KANJIRAPALLY
36,1,5,KOTTAYAM
37,4,5,MEENACHIL
38,5,5,VAIKOM
39,2,11,KOYILANDY
40,1,11,KOZHIKODE
41,,11,THAMARASSERY
42,3,11,VADAKARA
43,4,10,ERANAD
44,,10,KONDOTTY
45,,10,NILAMBUR
46,1,10,PERINTHALMANNA
47,3,10,PONNANI
48,2,10,TIRUR
49,,10,TIRURANGADI
50,3,9,ALATHUR
51,2,9,CHITTOOR
52,4,9,MANNARKKAD
53,5,9,OTTAPALAM
54,1,9,PALAKKAD
55,6,9,PATTAMBI
56,1,3,ADOOR
57,6,3,KONNI
58,3,3,KOZHENCHERRY
59,5,3,MALLAPPALLY
60,4,3,RANNI
61,2,3,THIRUVALLA
62,P3,1,CHIRAYAN KEEZHU
63,,1,KATTAKADA
64,P2,1,NEDUMANGAD
65,P4,1,NEYYATTINKARA
66,P1,1,THIRUVANANTHAPURAM
67,,1,VARKALA
68,6,8,CHALAKUDY
69,4,8,CHAVAKKAD
70,1,8,KODUNGALLUR
71,,8,KUNNAMKULAM
72,2,8,MUKUNDAPURAM
73,5,8,THALAPILLAI
74,3,8,THRISSUR
75,1,12,MANANTHAVADY
76,2,12,BATHERY
77,3,12,VYTHIRI
