id,taluk_id,name,display_code,,,,,
1,1,ALAPPUZHA WEST,26,,,,,
2,1,AMBALAPPUZHA,31,,,,,
3,1,AMBALAPPUZHA NORTH,,,,,,
4,1,ARYAD SOUTH,23,,,,,
5,1,KALAVOOR,24,,,,,
6,1,KARUMADY,32,,,,,
7,1,KOMALAPURAM,22,,,,,
8,1,MANNANCHERRY,21,,,,,
9,1,MULLACKAL,27,,,,,
10,1,PARAVUR ALAPUZHA,29,,,,,
11,1,PATHIRAPPALLY,25,,,,,
12,1,PAZHAVEEDU,28,,,,,
13,1,PUNNAPRA,30,,,,,
14,1,PURAKKAD,33,,,,,
15,2,AALA CHENGANNUR,86,,,,,
16,2,CHENGANNUR,90,,,,,
17,2,CHERIYANAD,87,,,,,
18,2,ENNAKKAD,91,,,,,
19,2,KURATTISSERY,82,,,,,
20,2,MANNAR,83,,,,,
21,2,MULAKKUZHA,85,,,,,
22,2,PANDANAD,81,,,,,
23,2,PULIYUR,88,,,,,
24,2,THIRUVANVANDOOR,80,,,,,
25,2,VENMONY,89,,,,,
26,3,AROOKKUTTY,12,,,,,
27,3,AROOR,1,,,,,
28,3,ARTHUNKAL,,,,,,
29,3,CHERTHALA NORTH,10,,,,,
30,3,CHERTHALA SOUTH,9,,,,,
31,3,EZHUPUNNA,2,,,,,
32,3,KADAKKARAPPALLY,7,,,,,
33,3,KANJIKKUZHI,19,,,,,
34,3,KODAMTHURUTHU,3,,,,,
35,3,KUTHIATHODU,4,,,,,
36,3,MARARIKULAM NORTH,20,,,,,
37,3,PALLYPURAM CHERTHALA,16,,,,,
38,3,PANAVALLY,14,,,,,
39,3,PATTANAKKAD,8,,,,,
40,3,PERUMBALAM,13,,,,,
41,3,THANNEERMKKOM SOUTH,18,,,,,
42,3,THANNEERMUKKOM NORTH,17,,,,,
43,3,THURAVOOR SOUTH,5,,,,,
44,3,THYKKATTUSSERY,15,,,,,
45,3,VAYALAR EAST,6,,,,,
46,4,ARATTUPUZHA,57,,,,,
47,4,CHEPPAD,56,,,,,
48,4,CHERUTHANA,48,,,,,
49,4,CHINGOLI,55,,,,,
50,4,HARIPPAD,52,,,,,
51,4,KANDALLOOR,59,,,,,
52,4,KARTHIKAPPALLY,54,,,,,
53,4,KARUVATTA,47,,,,,
54,4,KAYAMKULAM,62,,,,,
55,4,KEERIKKAD,60,,,,,
56,4,KRISHNAPURAM,63,,,,,
57,4,KUMARAPURAM,50,,,,,
58,4,MUTHUKULAM,58,,,,,
59,4,PALLIPPAD,53,,,,,
60,4,PATHIYUR,61,,,,,
61,4,PUTHUPALLI KARTHIKAPALLY,64,,,,,
62,4,THRIKKUNNAPPUZHA,51,,,,,
63,4,VEEYAPURAM,49,,,,,
64,5,CHAMPAKKULAM,41,,,,,
65,5,EDATHUVA,45,,,,,
66,5,KAINAKARY NORTH,,,,,,
67,5,KAINAKARY SOUTH,39,,,,,
68,5,KAVALAM,37,,,,,
69,5,KUNNUMMA,36,,,,,
70,5,MUTTAR,43,,,,,
71,5,NEDUMUDY,42,,,,,
72,5,NEELAMPERUR,34,,,,,
73,5,PULIMKUNNU,38,,,,,
74,5,RAMANKARY,40,,,,,
75,5,THAKAZHY,46,,,,,
76,5,THALAVADY,44,,,,,
77,5,VELIYANADU,35,,,,,
78,6,BHARANIKKAVU,74,,,,,
79,6,CHENNITHALA,66,,,,,
80,6,CHUNAKKARA,71,,,,,
81,6,KANNAMANGALAM,67,,,,,
82,6,KATTANAM,75,,,,,
83,6,MAVELIKKARA,68,,,,,
84,6,NOORANAD,72,,,,,
85,6,PALAMEL,73,,,,,
86,6,PERINGALA,77,,,,,
87,6,THAMARAKKULAM,79,,,,,
88,6,THAZHAKKARA,69,,,,,
89,6,THEKKEKKARA,76,,,,,
90,6,THRIPPERUMTHURA,65,,,,,
91,6,VALLIKUNNAM,78,,,,,
92,6,VETTIYAR,70,,,,,
93,7,ALUVA EAST,,,,,,
94,7,ALUVA WEST,,,,,,
95,7,ANGAMALY,3,,1220,62,ANCHUTHENGU,
96,7,AYYAMPUZHA,4,,1222,62,AVANAVANCHERRY,
97,7,CHENGAMANAD,6,,1225,62,ELAMBA,
98,7,CHOORNIKKARA,2,,1232,62,KOONTHALLOOR,
99,7,CHOWARA,,,1649,62,CHIRAYINKEEZHU,
100,7,KALADY,7,,1332,67,CHERUNNIYUR,
101,7,KARUKUTTY,8,,1244,63,MALAYINKEEZH,
102,7,KEEZHMAD,1,,1280,65,BALARAMAPURAM,
103,7,KIZHAKKUMBHAGOM,,,1295,65,POOVAR,
104,7,MALAYATTOOR,9,,1310,66,MANACAUD,
105,7,MANJAPRA,11,,1312,66,MENAMKULAM,
106,7,MATTOOR,12,,1318,66,PEROORKADA,
107,7,MOOKKANNOOR,13,,1319,66,PETTAH,
108,7,NEDUMBASSERY,10,,1321,66,THIRUMALA,
109,7,PARAKKADAVU,14,,,,,
110,7,THEKKUMBHAGAM ALUVA,,,,,,
111,7,THURAVOOR,15,,,,,
112,7,VADAKKUMBHAGOM,,,,,,
113,8,AMBALLUR KANAYANNUR,32,,,,,
114,8,CHERANALLUR,33,,,,,
115,8,EDAKKATTUVAYAL,34,,,,,
116,8,EDAPPALLY NORTH,36,,,,,
117,8,EDAPPALLY SOUTH,,,,,,
118,8,ELAMKULAM,,,,,,
119,8,ERNAKULAM,,,,,,
120,8,KADAMAKKUDY,39,,,,,
121,8,KAIPPATTUR,,,,,,
122,8,KAKKANAD,40,,,,,
123,8,KANAYANNUR,,,,,,
124,8,KEECHERRY,,,,,,
125,8,KULAYETTIKARA,,,,,,
126,8,KUMBALAM,42,,,,,
127,8,KUREEKKAD,,,,,,
128,8,MANAKUNNAM,,,,,,
129,8,MARADU,43,,,,,
130,8,MULAMTHURUTHY,45,,,,,
